Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_kmh,Min_Speed_kmh,Avg_Speed_kmh,Total_Distance_m,Duration_seconds
1,45,1,45,118.0,22.0,103.0,52.44373292471134,1.4666666666666666
2,45,1,45,47.0,17.0,41.97560975609756,20.264412584470946,1.4666666666666666
3,45,1,45,42.0,13.0,37.97560975609756,18.768841497659103,1.4666666666666666
4,12,1,12,116.0,48.0,100.0,11.513944363752628,0.36666666666666664
5,45,1,45,42.0,15.0,35.926829268292686,18.50551021560776,1.4666666666666666
6,45,1,45,44.0,13.0,35.390243902439025,18.716632226712676,1.4666666666666666
7,45,1,45,54.0,1.0,38.22727272727273,22.481623703074103,1.4666666666666666
8,45,1,45,112.0,14.0,95.53658536585365,51.39535702757299,1.4666666666666666
9,45,1,45,42.0,6.0,35.26829268292683,20.198252232608358,1.4666666666666666
11,45,1,45,99.0,18.0,78.53658536585365,42.70004491572876,1.4666666666666666
12,15,1,15,48.0,5.0,33.0,6.888928664128201,0.4666666666666667
14,29,1,29,42.0,14.0,35.28,12.590810749761228,0.9333333333333333
15,45,1,45,45.0,2.0,34.46341463414634,19.779428115901467,1.4666666666666666
17,7,1,7,109.0,49.0,85.33333333333333,5.171142741912789,0.2
18,45,1,45,45.0,10.0,40.26829268292683,20.772986723352236,1.4666666666666666
20,42,1,45,45.0,21.0,42.60526315789474,20.62146814214521,1.4666666666666666
21,45,1,45,115.0,9.0,98.8048780487805,52.17129289739445,1.4666666666666666
27,3,5,7,46.0,38.0,42.0,1.022273523753026,0.06666666666666667
43,2,14,15,98.0,98.0,98.0,1.0977294816475303,0.03333333333333333
57,5,19,23,39.0,38.0,38.75,1.8420320826964758,0.13333333333333333
60,10,27,36,50.0,47.0,48.55555555555556,5.002937911875903,0.3
16,15,31,45,133.0,48.0,75.07142857142857,12.415807786048083,0.4666666666666667
73,1,31,31,0,0,0,0.0,0.0
28,14,31,45,250.0,51.0,75.15384615384616,10.014121068639662,0.4666666666666667
